x, y, Name
-5.64917318258428,50.042378,Porthcurno,
-5.4435929006366,50.112232,Perranuthanoe,
-5.39105404160401,50.102989,Praa Sands,
-5.32154512475674,50.081251,Porthleven,
-5.16190358613886,50.004962,Kennack Sands,
-5.069286,50.140807,Falmouth,
-4.779861,50.288763,Pentewan,
-4.69584606567911,50.346431,Polkerris,
-4.38572926699007,50.362873,Seaton,
-4.342381,50.36014,Portwrinkle,
-4.25733070112304,50.345479,Whitsand Bay,
-4.1149270316829,50.315887,Bovisand Reef,
-4.085477,50.316132,Wembury,
-3.89971700241495,50.286855,Challaborough,
-3.8884740796228,50.278665,Bantham,
-5.147526,50.392578,Holywell Bay,
-5.15242981848169,50.364374,Penhale (Perran Sands),
-5.160171,50.349197,Perranporth (Droskyn),
-5.20170620220752,50.321271,St Agnes,
-5.2377622725146,50.301489,Chapel Porth,
-5.24608216311386,50.289113,Porthtowan,
-5.29281619422281,50.263172,Portreath - The Wall,
-5.29242863338383,50.26229,Portreath - The V,
-5.29416135616033,50.26188,Portreath - Beach,
-5.39461386904604,50.230352,Godrevy,
-5.39897568130438,50.223471,Gwithian,
-5.433755,50.198435,Hayle Rivermouth,
-5.45445283646501,50.197042,Carbis Bay,
-5.48257529842158,50.216236,Porthmeor,
-5.69110625034547,50.09096,Gwenvor,
-5.69763198354534,50.080204,Sennen,
1.74859242595028,52.46719,Lowestoft,
1.73862859879594,52.576569,Gorleston,
1.72083976817086,52.678066,Scratby,
1.59979,52.793803,Seapalling,
1.50090908817718,52.843684,Walcott,
1.47711271191771,52.855723,Bacton,
1.43904303359506,52.878887,Mundesley,
1.30172998497885,52.932732,Cromer,
1.29061656105054,52.935001,East Runton,
-5.060201,50.429867,Whipsiderry,
-5.06589,50.425646,Porth,
-5.06824,50.423244,Lusty Glaze,
-5.07472095725792,50.417309,Tolcarne Wedge,
-5.078069,50.416159,Towan,
-5.10258,50.425379,Cribber,
-5.10001283426399,50.422897,Little Fistral,
-5.09972846531026,50.418448,North Fistral,
-5.10250394602446,50.414096,South Fistral,
-5.12308662309643,50.406448,Crantock,
-0.890468165665254,54.573691,Skinningrove,
-0.957449,54.588864,Saltburn Point,
-0.97189548143237,54.587923,Saltburn Beach,
-1.04819754158244,54.620209,Redcar,
-1.09211,54.626058,Marske to Tees,
-1.14128,54.644325,The Gare,
-1.19232710584573,54.674696,Hartlepool,
-1.28548,54.809632,Hartlepool to Sunderland,
-1.35072046267409,54.958737,Whitburn,
-1.407991,54.999818,South Shields,
-1.41548708717075,55.014228,Black Middens,
-1.41823342626777,55.019771,Tynemouth - Eddies,
-1.42337663233683,55.02668,Tynemouth - Longsands,
-1.44433109504928,55.048533,Whitley Bay,
-1.45993293604718,55.078123,Hartley Reef,
-1.4916411347789,55.100395,Seaton To Blyth,
-1.49553238079767,55.186126,Newbiggin,
-1.66011387453533,55.588586,Seahouses,
-1.7117525578165,55.614459,Bamburgh,
-1.77639998846688,55.666968,Holy Island,
-1.51254614398849,50.668335,Freshwater - I.O.W,
-1.47650026997727,50.661133,Compton - I.O.W,
-1.13538987419464,50.659256,Whitecliff Bay - I.O.W,
-0.980253628249244,50.779813,Hayling Island,
-0.909159,50.774379,The Witterings,
-0.533055,50.801834,Littlehampton,
-0.22840293339371,50.82752,Shoreham,
-0.152403879669151,50.820143,Brighton - West Pier,
-0.092261765882697,50.811408,Brighton - Marina,
-0.135982686052813,50.818535,Brighton - Wedge,
0.291028568212397,50.763855,Eastbourne,
1.4471359787939,51.379918,Joss Bay,
-3.48117443281305,50.428945,Torbay,
