X,Y,Name,description
-5.147526,50.392578,Holywell Bay,
-5.15242981848169,50.364374,Penhale (Perran Sands),
-5.160171,50.349197,Perranporth (Droskyn),
-5.20170620220752,50.321271,St Agnes,
-5.2377622725146,50.301489,Chapel Porth,
-5.24608216311386,50.289113,Porthtowan,
-5.29281619422281,50.263172,Portreath - The Wall,
-5.29242863338383,50.26229,Portreath - The V,
-5.29416135616033,50.26188,Portreath - Beach,
-5.39461386904604,50.230352,Godrevy,
-5.39897568130438,50.223471,Gwithian,
-5.433755,50.198435,Hayle Rivermouth,
-5.45445283646501,50.197042,Carbis Bay,
-5.48257529842158,50.216236,Porthmeor,
-5.69110625034547,50.09096,Gwenvor,
-5.69763198354534,50.080204,Sennen,
